Experiment Run,CEFR_weighted_f1,CEFR_adj_accuracy,CEFR_rmse,Meaning_MeaningBERT-Orig,Meaning_BERTScore-Orig,Similarity_MeaningBERT-Ref,Similarity_BERTScore-Ref
claude_4_1_shot_20250806-230728,0.3654,0.975,0.8062,0.7833,0.9377,0.781,0.9283
claude_4_2_shot_20250806-214815,0.3433,0.975,0.8216,0.7682,0.9355,0.7782,0.9289
claude_4_target_20250806-222640,0.4133,1.0,0.7416,0.7776,0.9314,0.7685,0.9239
claude_4_with_description_20250806-224715,0.4505,1.0,0.7071,0.7454,0.9304,0.7684,0.923
gemma_3_1_shot_20250807-033517,0.413,1.0,0.7246,0.7607,0.9283,0.7787,0.9204
gemma_3_2_shot_20250807-034034,0.378,1.0,0.7583,0.7699,0.928,0.7858,0.9203
gemma_3_target_20250807-032335,0.419,1.0,0.7416,0.7653,0.9251,0.7807,0.9189
gemma_3_with_description_20250807-032929,0.4236,0.975,0.7906,0.766,0.9245,0.7813,0.9191
gpt4o_cot_20250727-173349,0.5166,0.975,0.7416,0.7416,0.9306,0.7374,0.9206
gpt4o_target_250727-151039,0.4345,0.95,0.8367,0.7959,0.9377,0.7855,0.9259
gpt4o_with_description_1_shot_20250727-164212,0.4247,0.925,0.8944,0.7949,0.9409,0.7854,0.9258
gpt4o_with_description_20250727-160655,0.5043,0.95,0.8062,0.7952,0.9388,0.7747,0.9252
gpt4o_with_description_2_shot_20250727-171917,0.5369,0.95,0.7906,0.7923,0.9418,0.7894,0.9263
gpto1_cot_20250727-173805,0.0714,0.425,1.8507,0.7711,0.8809,0.7125,0.8705
gpto1_target_250727-151248,0.4345,0.925,0.8803,0.8263,0.9392,0.7933,0.924
gpto1_with_description_1_shot_20250727-164428,0.5515,0.925,0.9083,0.8185,0.9454,0.7934,0.9261
gpto1_with_description_20250727-160906,0.5213,0.925,0.922,0.8253,0.9391,0.8017,0.9226
gpto1_with_description_2_shot_20250727-172126,0.5045,0.925,0.866,0.8333,0.9452,0.8023,0.9268
gpto3_cot_20250727-174613,0.1154,0.475,1.9365,0.7422,0.8548,0.6747,0.8496
gpto3_target_250727-151801,0.5543,0.95,0.7746,0.7651,0.919,0.7756,0.9147
gpto3_with_description_1_shot_20250727-165024,0.5043,0.95,0.8062,0.7777,0.9285,0.7904,0.9224
gpto3_with_description_20250727-161443,0.455,0.95,0.8367,0.7524,0.9181,0.7687,0.9126
gpto3_with_description_2_shot_20250727-172708,0.4398,0.925,0.9487,0.7793,0.9293,0.7721,0.9216
